"Freq [GHz]","dB(St(wguide_T2,wguide_T1)) []"
0.9,-0.235518328910236
0.902,-0.237271589194243
0.904,-0.239044275936904
0.906,-0.24083669432092
0.908,-0.242649156232583
0.91,-0.244481980453724
0.912,-0.246335492860402
0.914,-0.248210026628649
0.916,-0.25010592244771
0.918,-0.252023528740802
0.92,-0.253963201894128
0.922,-0.255925306494045
0.924,-0.257910215573173
0.926,-0.259918310865481
0.928,-0.261949983071053
0.93,-0.264005632130728
0.932,-0.266085667511161
0.934,-0.268190508500855
0.936,-0.27032058451745
0.938,-0.272476335427048
0.94,-0.274658211875942
0.942,-0.276866675635372
0.944,-0.279102199959999
0.946,-0.281365269960622
0.948,-0.283656382991969
0.95,-0.285976049056096
0.952,-0.288324791222391
0.954,-0.290703146064723
0.956,-0.29311166411684
0.958,-0.295550910346738
0.96,-0.298021464651032
0.962,-0.300523922370324
0.964,-0.303058894826637
0.966,-0.305627009884037
0.968,-0.308228912533648
0.97,-0.310865265504318
0.972,-0.313536749900331
0.974,-0.316244065867503
0.976,-0.318987933289289
0.978,-0.321769092514412
0.98,-0.324588305117834
0.982,-0.327446354696769
0.984,-0.330344047703771
0.986,-0.333282214318964
0.988,-0.336261709363483
0.99,-0.339283413256646
0.992,-0.342348233019231
0.994,-0.345457103325512
0.996,-0.348610987606991
0.998,-0.35181087921077
1,-0.355057802615784
1.002,-0.358352814710469
1.004,-0.361697006135406
1.006,-0.365091502695064
1.008,-0.368537466842734
1.01,-0.372036099243303
1.012,-0.375588640418669
1.014,-0.379196372481043
1.016,-0.382860620959761
1.018,-0.386582756727576
1.02,-0.390364198032964
1.022,-0.394206412645332
1.024,-0.398110920120615
1.026,-0.402079294195414
1.028,-0.406113165318247
1.03,-0.410214223327373
1.032,-0.414384220285145
1.034,-0.41862497348002
1.036,-0.422938368607861
1.038,-0.427326363145273
1.04,-0.431790989928917
1.042,-0.436334360955608
1.044,-0.440958671419454
1.046,-0.445666204003673
1.048,-0.450459333445996
1.05,-0.455340531398698
1.052,-0.460312371605419
1.054,-0.465377535419711
1.056,-0.470538817691763
1.058,-0.47579913305265
1.06,-0.481161522627736
1.062,-0.486629161214261
1.064,-0.492205364960885
1.066,-0.497893599590837
1.068,-0.503697489214328
1.07,-0.509620825780127
1.072,-0.515667579221128
1.074,-0.521841908354231
1.076,-0.528148172600777
1.078,-0.534590944600597
1.08,-0.541175023800079
1.082,-0.547905451103099
1.084,-0.554787524682903
1.086,-0.561826817063482
1.088,-0.569029193590613
1.09,-0.576400832425767
1.092,-0.583948246210939
1.094,-0.59167830556869
1.096,-0.599598264620407
1.098,-0.607715788726909
1.1,-0.616038984678658
1.102,-0.624576433590238
1.104,-0.633337226783446
1.106,-0.642331004978065
1.108,-0.651568001148235
1.11,-0.661059087446712
1.112,-0.670815826650062
1.114,-0.680850528635327
1.116,-0.691176312465041
1.118,-0.701807174732999
1.12,-0.712758064909984
1.122,-0.724044968528904
1.124,-0.735684999163361
1.126,-0.747696500287063
1.128,-0.760099158254923
1.13,-0.772914127824921
1.132,-0.786164171846733
1.134,-0.799873816984309
1.136,-0.814069527620326
1.138,-0.828779900419609
1.14,-0.844035882413646
1.142,-0.85987101592135
1.144,-0.876321714154595
1.146,-0.893427571986811
1.148,-0.911231717108915
1.15,-0.929781207682331
1.1502,-0.931679090577754
1.1504,-0.93358499129283
1.1506,-0.935498964317749
1.1508,-0.937421064642072
1.151,-0.939351347760417
1.1512,-0.941289869678134
1.1514,-0.943236686917138
1.1516,-0.945191856521747
1.1518,-0.947155436064634
1.152,-0.949127483652884
1.1522,-0.951108057934032
1.1524,-0.953097218102328
1.1526,-0.955095023904989
1.1528,-0.957101535648521
1.153,-0.959116814205186
1.1532,-0.961140921019539
1.1534,-0.963173918115047
1.1536,-0.96521586810078
1.1538,-0.96726683417821
1.154,-0.969326880148135
1.1542,-0.971396070417635
1.1544,-0.973474470007141
1.1546,-0.975562144557658
1.1548,-0.977659160338022
1.155,-0.979765584252246
1.1552,-0.981881483847056
1.1554,-0.984006927319424
1.1556,-0.986141983524284
1.1558,-0.988286721982313
1.156,-0.990441212887837
1.1562,-0.992605527116843
1.1564,-0.994779736235114
1.1566,-0.996963912506415
1.1568,-0.99915812890093
1.157,-1.00136245910365
1.1572,-1.00357697752302
1.1574,-1.0058017592996
1.1576,-1.00803688031495
1.1578,-1.01028241720052
1.158,-1.01253844734682
1.1582,-1.01480504891253
1.1584,-1.01708230083393
1.1586,-1.01937028283432
1.1588,-1.02166907543369
1.159,-1.02397875995838
1.1592,-1.02629941855107
1.1594,-1.02863113418073
1.1596,-1.03097399065283
1.1598,-1.03332807261966
1.16,-1.03569346559081
1.1602,-1.03807025594374
1.1604,-1.04045853093464
1.1606,-1.04285837870927
1.1608,-1.04526988831413
1.161,-1.04769314970765
1.1612,-1.05012825377167
1.1614,-1.05257529232294
1.1616,-1.05503435812495
1.1618,-1.05750554489985
1.162,-1.0599889473405
1.1622,-1.06248466112277
1.1624,-1.06499278291806
1.1626,-1.06751341040585
1.1628,-1.07004664228663
1.163,-1.07259257829483
1.1632,-1.07515131921214
1.1634,-1.07772296688085
1.1636,-1.08030762421748
1.1638,-1.08290539522665
1.164,-1.08551638501504
1.1642,-1.08814069980569
1.1644,-1.09077844695241
1.1646,-1.09342973495449
1.1648,-1.09609467347157
1.165,-1.09877337333877
1.1652,-1.10146594658203
1.1654,-1.10417250643373
1.1656,-1.10689316734849
1.1658,-1.10962804501922
1.166,-1.11237725639347
1.1662,-1.11514091968994
1.1664,-1.11791915441536
1.1666,-1.12071208138152
1.1668,-1.12351982272263
1.167,-1.12634250191293
1.1672,-1.12918024378455
1.1674,-1.1320331745457
1.1676,-1.13490142179912
1.1678,-1.13778511456076
1.168,-1.14068438327886
1.1682,-1.14359935985325
1.1684,-1.14653017765498
1.1686,-1.14947697154624
1.1688,-1.15243987790063
1.169,-1.15541903462375
1.1692,-1.15841458117403
1.1694,-1.16142665858402
1.1696,-1.16445540948196
1.1698,-1.16750097811363
1.17,-1.17056351036466
1.1702,-1.17364315378312
1.1704,-1.17674005760256
1.1706,-1.17985437276524
1.1708,-1.18298625194599
1.171,-1.18613584957621
1.1712,-1.18930332186842
1.1714,-1.19248882684118
1.1716,-1.19569252434434
1.1718,-1.19891457608474
1.172,-1.20215514565242
1.1722,-1.20541439854712
1.1724,-1.20869250220528
1.1726,-1.21198962602745
1.1728,-1.21530594140629
1.173,-1.2186416217548
1.1732,-1.22199684253517
1.1734,-1.22537178128811
1.1736,-1.22876661766262
1.1738,-1.23218153344622
1.174,-1.23561671259582
1.1742,-1.23907234126892
1.1744,-1.24254860785552
1.1746,-1.24604570301041
1.1748,-1.24956381968608
1.175,-1.25310315316624
1.1752,-1.25666390109971
1.1754,-1.26024626353516
1.1756,-1.26385044295619
1.1758,-1.26747664431713
1.176,-1.27112507507946
1.1762,-1.2747959452488
1.1764,-1.27848946741256
1.1766,-1.28220585677821
1.1768,-1.28594533121228
1.177,-1.2897081112799
1.1772,-1.29349442028518
1.1774,-1.29730448431217
1.1776,-1.30113853226657
