"resonator_l [in]","resonator_w [in]","Freq [GHz]","dB(St(wguide_T2,wguide_T1)) []"
2.4,0.054,0.9,-0.28369691277909
2.4,0.054,0.902,-0.28583716631661
2.4,0.054,0.904,-0.287999248354271
2.4,0.054,0.906,-0.29018345840516
2.4,0.054,0.908,-0.292390101498192
2.4,0.054,0.91,-0.294619488307456
2.4,0.054,0.912,-0.296871935285268
2.4,0.054,0.914,-0.299147764799035
2.4,0.054,0.916,-0.301447305272006
2.4,0.054,0.918,-0.303770891328128
2.4,0.054,0.92,-0.306118863941092
2.4,0.054,0.922,-0.308491570587755
2.4,0.054,0.924,-0.310889365405991
2.4,0.054,0.926,-0.313312609357279
2.4,0.054,0.928,-0.315761670394021
2.4,0.054,0.93,-0.318236923631922
2.4,0.054,0.932,-0.320738751527452
2.4,0.054,0.934,-0.323267544060699
2.4,0.054,0.936,-0.325823698923745
2.4,0.054,0.938,-0.328407621714714
2.4,0.054,0.94,-0.331019726137768
2.4,0.054,0.942,-0.333660434209359
2.4,0.054,0.944,-0.336330176470624
2.4,0.054,0.946,-0.339029392206565
2.4,0.054,0.948,-0.341758529672006
2.4,0.054,0.95,-0.344518046324571
2.4,0.054,0.952,-0.347308409065141
2.4,0.054,0.954,-0.350130094485824
2.4,0.054,0.956,-0.352983589125869
2.4,0.054,0.958,-0.355869389735814
2.4,0.054,0.96,-0.358788003550112
2.4,0.054,0.962,-0.361739948568615
2.4,0.054,0.964,-0.36472575384723
2.4,0.054,0.966,-0.367745959798129
2.4,0.054,0.968,-0.370801118499798
2.4,0.054,0.97,-0.373891794017457
2.4,0.054,0.972,-0.377018562734092
2.4,0.054,0.974,-0.380182013692636
2.4,0.054,0.976,-0.383382748949672
2.4,0.054,0.978,-0.386621383941191
2.4,0.054,0.98,-0.389898547860814
2.4,0.054,0.982,-0.393214884050946
2.4,0.054,0.984,-0.396571050407543
2.4,0.054,0.986,-0.399967719798925
2.4,0.054,0.988,-0.403405580499203
2.4,0.054,0.99,-0.406885336637008
2.4,0.054,0.992,-0.410407708660045
2.4,0.054,0.994,-0.413973433816272
